kit_id,volunteer_id,kit_type,quantity,date_given,location
K0001,V0077,Food Basket,35,2025-05-25,New Ashleyville
K0002,V0127,School Supplies,18,2025-02-22,Karenview
K0003,V0163,Clothing Bundle,40,2025-05-25,South Crystal
K0004,V0072,Clothing Bundle,49,2025-05-22,Mckayberg
K0005,V0110,Food Basket,14,2025-05-07,Velezstad
K0006,V0318,School Supplies,14,2025-05-29,Feliciafurt
K0007,V0423,Food Basket,17,2025-03-18,Vangbury
K0008,V0373,Clothing Bundle,34,2025-01-12,New Deborahton
K0009,V0068,Hygiene Kit,36,2025-06-11,New Victoriaside
K0010,V0447,Clothing Bundle,15,2025-03-12,West Norma
K0011,V0402,Food Basket,22,2025-06-03,Mcneilshire
K0012,V0292,Hygiene Kit,50,2025-01-10,Leehaven
K0013,V0368,Food Basket,23,2025-04-08,East Davidshire
K0014,V0121,Food Basket,39,2025-05-23,East Ernestville
K0015,V0283,Clothing Bundle,47,2025-02-11,East Randymouth
K0016,V0369,School Supplies,21,2025-05-02,Port Tara
K0017,V0036,Hygiene Kit,38,2025-01-20,Shannonland
K0018,V0190,Hygiene Kit,32,2025-06-07,Mallorychester
K0019,V0176,School Supplies,44,2025-02-07,Lake Katherineland
K0020,V0282,Food Basket,14,2025-03-17,Smithview
K0021,V0065,School Supplies,49,2025-02-16,South David
K0022,V0006,Food Basket,27,2025-04-01,New Garyhaven
K0023,V0102,Hygiene Kit,20,2025-03-31,North Jennifer
K0024,V0057,School Supplies,45,2025-03-10,Danielmouth
K0025,V0412,School Supplies,38,2025-03-06,East Georgetown
K0026,V0378,Food Basket,31,2025-06-13,Kellyburgh
K0027,V0431,Clothing Bundle,19,2025-05-19,Monroeberg
K0028,V0290,Clothing Bundle,48,2025-06-24,Herrerafurt
K0029,V0131,Clothing Bundle,33,2025-02-12,Amandamouth
K0030,V0061,Clothing Bundle,28,2025-02-01,Robinsonburgh
K0031,V0061,Hygiene Kit,29,2025-01-26,Brownton
K0032,V0473,School Supplies,31,2025-07-05,New Jacobville
K0033,V0273,Food Basket,34,2025-01-28,Port Christopher
K0034,V0049,Clothing Bundle,30,2025-06-09,Catherineport
K0035,V0228,Food Basket,18,2025-03-12,Port Meganburgh
K0036,V0300,Hygiene Kit,19,2025-03-31,Port Brian
K0037,V0434,Food Basket,11,2025-05-26,New Lisastad
K0038,V0020,School Supplies,15,2025-06-07,Port Jenniferport
K0039,V0001,Food Basket,18,2025-03-06,Jerrychester
K0040,V0204,Hygiene Kit,46,2025-02-11,New Kristin
K0041,V0279,Hygiene Kit,37,2025-02-07,Lake Gabriellehaven
K0042,V0162,Clothing Bundle,36,2025-05-07,Frankview
K0043,V0363,School Supplies,46,2025-05-12,Ashleyhaven
K0044,V0337,Hygiene Kit,47,2025-02-25,West Amanda
K0045,V0180,Clothing Bundle,35,2025-02-05,Johnfort
K0046,V0335,Clothing Bundle,32,2025-02-15,Port Karlaborough
K0047,V0137,Clothing Bundle,27,2025-01-27,West Melissa
K0048,V0057,Clothing Bundle,33,2025-02-15,Arnoldton
K0049,V0343,Hygiene Kit,20,2025-04-12,South Tinaview
K0050,V0112,School Supplies,32,2025-01-15,Port Philliphaven
K0051,V0166,Food Basket,21,2025-01-27,East Jeremyview
K0052,V0481,Hygiene Kit,44,2025-07-02,New Dennistown
K0053,V0471,School Supplies,14,2025-05-31,Angelafort
K0054,V0058,Clothing Bundle,30,2025-03-01,Perkinsbury
K0055,V0009,Hygiene Kit,13,2025-05-06,Youngmouth
K0056,V0324,Food Basket,16,2025-04-15,North Scotttown
K0057,V0478,Food Basket,27,2025-04-08,New Emilyfurt
K0058,V0478,Food Basket,31,2025-02-13,North Matthew
K0059,V0288,Clothing Bundle,27,2025-03-30,Bradleyview
K0060,V0331,Food Basket,19,2025-06-02,New Robinside
K0061,V0420,School Supplies,34,2025-03-31,Lake Dianaview
K0062,V0499,School Supplies,39,2025-04-09,West Jermaine
K0063,V0227,School Supplies,15,2025-02-28,Lake Robertshire
K0064,V0044,Food Basket,34,2025-04-22,Bondstad
K0065,V0010,Clothing Bundle,48,2025-05-16,Thomastown
K0066,V0258,Hygiene Kit,23,2025-03-10,South Matthew
K0067,V0166,Clothing Bundle,47,2025-02-18,Brentbury
K0068,V0026,Hygiene Kit,46,2025-01-16,Lake Sharimouth
K0069,V0408,Food Basket,38,2025-02-18,Jensenshire
K0070,V0429,Food Basket,33,2025-04-14,Laurenhaven
K0071,V0383,Food Basket,47,2025-03-03,Lake Samuelburgh
K0072,V0067,School Supplies,20,2025-01-22,Tiffanyfort
K0073,V0223,Food Basket,11,2025-04-23,South Dominique
K0074,V0266,Clothing Bundle,25,2025-01-30,Victorchester
K0075,V0106,Clothing Bundle,37,2025-06-18,Smithshire
K0076,V0487,Hygiene Kit,43,2025-04-22,Dawnview
K0077,V0463,Clothing Bundle,50,2025-04-17,East Randy
K0078,V0195,Food Basket,29,2025-02-26,Alyssahaven
K0079,V0067,Clothing Bundle,37,2025-01-10,Krystalmouth
K0080,V0211,School Supplies,43,2025-03-28,Pricemouth
K0081,V0027,Clothing Bundle,26,2025-02-21,Ashleyside
K0082,V0452,Food Basket,43,2025-01-19,Rachelville
K0083,V0163,Hygiene Kit,42,2025-05-16,New Laurenhaven
K0084,V0061,Food Basket,37,2025-02-19,Sarabury
K0085,V0140,Food Basket,19,2025-04-02,Williamschester
K0086,V0346,Hygiene Kit,13,2025-03-03,Deborahton
K0087,V0482,Hygiene Kit,20,2025-02-21,Brandtmouth
K0088,V0411,Food Basket,31,2025-04-01,Laurenmouth
K0089,V0447,Hygiene Kit,29,2025-03-26,West Brooke
K0090,V0490,School Supplies,10,2025-02-13,Lake Robertbury
K0091,V0466,School Supplies,41,2025-06-26,Annabury
K0092,V0211,School Supplies,17,2025-02-16,North Christineborough
K0093,V0333,Hygiene Kit,45,2025-07-04,Starkton
K0094,V0354,Food Basket,21,2025-02-22,Fernandezfurt
K0095,V0378,Food Basket,19,2025-05-16,Jacquelineland
K0096,V0212,School Supplies,49,2025-06-28,Oconnormouth
K0097,V0109,Hygiene Kit,29,2025-06-28,Sherrymouth
K0098,V0232,Clothing Bundle,13,2025-03-22,East Elizabethville
K0099,V0228,Hygiene Kit,41,2025-03-29,East Adrian
K0100,V0438,Clothing Bundle,38,2025-04-04,Robertsonstad
